Name,Category,Price,Quality
TimeQuest,Terror,18268,43
WarReign,Terror,27478,30
VoidChronicles,Deportes,43538,4
LegendEmpire,Carreras,15715,1
FrozenDefenders,Estrategia,12104,26
CyberEchoes,Estrategia,50162,32
LegendRiders,Estrategia,5546,38
EternalDefenders,Estrategia,21323,68
VoidProtocol,Musical,9065,43
IronDefenders,Acción,39410,38
EternalSaga,Lucha,15706,81
WarQuest,Puzzle,20082,94
DragonReign,Plataformas,44242,30
CrystalChronicles,Carreras,27664,47
DragonRunner,Simulación,9822,92
FrozenEchoes,Lucha,56412,35
ShadowOdyssey,Deportes,55938,96
EternalBlade,Puzzle,28099,77
WarHorizon,Lucha,37281,31
EternalRunner,Carreras,66582,57
ShadowFrontier,Deportes,7371,93
CyberRiders,Acción,43004,35
SolarSaga,Terror,54327,10
StarBlade,Plataformas,15888,57
WarHeart,RPG,18117,79
MysticRunner,Plataformas,67157,6
CosmicQuest,Aventura,54989,63
VoidStorm,Plataformas,21726,100
CrystalRunner,Musical,23111,70
CyberLegacy,Terror,24564,27
CrystalEchoes,RPG,28257,35
ShadowBlade,Musical,48317,43
CrystalHeart,Musical,67552,23
IronHeart,Aventura,69174,55
VoidOdyssey,Simulación,50234,99
LegendReign,Terror,40896,8
CrystalFrontier,Plataformas,42027,50
HeroLegacy,Estrategia,22145,27
CrystalForge,Carreras,51846,45
StarGuardians,Terror,45107,28
EternalRunner,RPG,12493,80
CrystalReign,Estrategia,32811,75
MysticOdyssey,Terror,45525,44
CosmicRunner,Musical,26204,84
EternalForge,Acción,69975,47
CyberReign,Deportes,61431,8
EternalReign,Estrategia,21129,60
WarRunner,Simulación,36426,8
GalaxySaga,Plataformas,15787,22
ShadowSaga,Lucha,19442,93
DragonChronicles,Simulación,44139,46
MysticFrontier,Acción,64042,18
CyberOdyssey,Terror,15623,17
MysticFrontier,Lucha,2769,89
HeroGuardians,Carreras,43308,87
LostHeart,Acción,69116,82
LostStorm,Aventura,2396,41
LostLegacy,Puzzle,14055,59
CyberLegacy,Carreras,50832,64
TimeSaga,Musical,67298,42
CrystalBlade,Deportes,14356,12
AncientBlade,Musical,7569,40
FrozenHorizon,Deportes,4486,84
WarRiders,Puzzle,17807,27
GalaxyEchoes,Plataformas,23689,3
IronStorm,Terror,48050,18
ShadowProtocol,Carreras,3927,69
LegendSaga,Acción,49327,10
EternalStorm,RPG,64351,92
CrystalOdyssey,Lucha,37760,99
FinalFrontier,Puzzle,48783,5
TimeBlade,Plataformas,10989,34
TimeRiders,Puzzle,69869,51
TimeDefenders,Lucha,47125,92
LostQuest,Terror,27685,28
VoidRunner,Simulación,46867,10
IronBlade,RPG,47593,45
DragonEchoes,Plataformas,9419,17
LegendForge,Deportes,8913,2
GalaxyEmpire,Terror,69664,61
DragonChronicles,RPG,48157,49
DragonStorm,Terror,60433,5
IronLegacy,Lucha,11423,15
IronHeart,Musical,37933,3
WarPact,Plataformas,31384,38
FrozenDefenders,Lucha,25659,78
WarFrontier,Lucha,14735,72
MysticOdyssey,Deportes,19481,35
SolarRiders,Terror,27424,91
WarRunner,Lucha,51313,44
GalaxyHeart,Terror,4088,0
GalaxyRunner,Terror,10060,13
FinalEchoes,Carreras,12316,7
MysticForge,Musical,54132,72
GalaxyPact,Estrategia,18906,12
MysticDefenders,RPG,7204,79
SolarEmpire,Musical,41490,67
DragonLegacy,Estrategia,47638,20
FinalOdyssey,Puzzle,67950,57
SolarLegacy,Terror,19761,61
CosmicEmpire,Lucha,15066,7
GalaxyQuest,Plataformas,37195,16
CrystalRunner,Terror,17211,97
StarBlade,Carreras,48078,47
HeroEmpire,Terror,13069,44
LostEchoes,Plataformas,12919,98
WarHorizon,RPG,65853,89
AncientStorm,Acción,63304,92
LostSaga,Puzzle,56581,44
FrozenRunner,Simulación,66192,86
CosmicPact,Musical,45840,65
WarProtocol,Aventura,67833,74
WarBlade,Deportes,50541,43
CosmicFrontier,Aventura,37772,26
MysticOdyssey,Carreras,56178,94
CosmicQuest,Deportes,62577,33
VoidReign,Musical,837,34
EternalOdyssey,Acción,30858,93
LostPact,Lucha,9323,13
TimeGuardians,Deportes,21635,78
DragonQuest,Terror,11873,61
AncientRiders,Plataformas,54371,44
GalaxyLegacy,Lucha,27012,72
MysticPact,Terror,48164,54
LegendGuardians,Musical,44433,76
CrystalReign,Puzzle,57869,67
LegendEmpire,Carreras,1278,89
VoidRunner,Simulación,50045,92
VoidDefenders,Carreras,37919,69
DragonEchoes,Aventura,50649,44
ShadowEchoes,Aventura,27628,81
WarHeart,Carreras,35806,35
FrozenRunner,Estrategia,59277,20
DragonDefenders,Deportes,37416,38
CrystalStorm,Carreras,28738,7
TimeEmpire,Lucha,19809,53
EternalFrontier,Plataformas,7896,10
VoidSaga,Musical,33720,58
GalaxyFrontier,Carreras,16452,87
MysticRunner,Acción,12518,78
GalaxyHeart,Carreras,62958,44
SolarHeart,Simulación,4921,40
WarRiders,Aventura,50623,67
EternalSaga,Carreras,44538,55
CrystalProtocol,Lucha,4738,100
FinalBlade,Simulación,1436,18
GalaxyPact,Simulación,34040,9
WarHorizon,Deportes,67435,60
EternalQuest,Terror,43144,86
ShadowStorm,Carreras,15961,44
GalaxyHorizon,Deportes,43059,91
ShadowSaga,Plataformas,2076,29
AncientLegacy,Lucha,19241,20
SolarHeart,Simulación,52887,88
HeroChronicles,Puzzle,18136,68
EternalReign,RPG,6732,69
StarPact,Estrategia,36446,71
CosmicLegacy,RPG,1373,5
EternalHeart,Simulación,46587,2
TimeDefenders,Lucha,63224,84
EternalPact,Simulación,34439,19
GalaxyPact,Lucha,69754,57
IronDefenders,Terror,21431,19
HeroFrontier,Carreras,64958,88
MysticDefenders,Plataformas,10996,61
VoidHeart,Puzzle,17678,26
EternalGuardians,Terror,8421,79
VoidBlade,Carreras,26248,71
IronRiders,Deportes,37721,45
SolarBlade,Plataformas,46626,14
ShadowPact,Musical,69415,58
EternalFrontier,Simulación,54134,59
AncientFrontier,Musical,49048,17
FrozenDefenders,Deportes,53148,82
AncientProtocol,Puzzle,41971,64
MysticOdyssey,Plataformas,27423,98
CrystalBlade,Acción,29424,60
FrozenProtocol,Plataformas,20271,51
HeroEmpire,Terror,23445,60
IronGuardians,Terror,2641,30
GalaxyEmpire,Aventura,33192,84
AncientDefenders,Musical,44422,78
TimeDefenders,Carreras,16280,92
LostDefenders,Plataformas,54752,94
WarPact,Aventura,59628,14
EternalForge,Aventura,9547,51
SolarHorizon,Deportes,62171,80
IronDefenders,RPG,2665,82
IronReign,Estrategia,34735,38
VoidProtocol,Lucha,32440,26
WarReign,Lucha,15493,68
CyberGuardians,RPG,421,61
EternalGuardians,Estrategia,23247,20
SolarChronicles,Aventura,25070,67
IronProtocol,Deportes,14445,23
SolarProtocol,RPG,37103,62
CosmicProtocol,Aventura,30251,3
StarChronicles,Estrategia,67557,89
TimeHorizon,Terror,57241,96
IronForge,Acción,30833,79
DragonHeart,Puzzle,64770,96
VoidPact,Simulación,36886,64
StarOdyssey,Acción,56119,87
CosmicEmpire,Musical,68325,4
WarLegacy,Lucha,68067,83
CyberGuardians,Estrategia,45942,71
GalaxyStorm,Puzzle,64770,42
WarForge,RPG,742,35
MysticEchoes,RPG,17370,10
EternalForge,Aventura,48924,85
FrozenRiders,Aventura,12441,21
HeroChronicles,Simulación,43189,23
LegendRiders,Estrategia,25709,3
FinalQuest,RPG,3603,44
LostFrontier,Musical,28721,65
CyberSaga,Puzzle,43834,95
WarLegacy,Musical,43001,60
WarBlade,Terror,60449,36
EternalRiders,Terror,66558,88
TimeHeart,Simulación,59213,77
HeroForge,Aventura,57794,46
FinalReign,Plataformas,5482,40
LostBlade,RPG,29975,96
IronFrontier,Lucha,62462,20
HeroRiders,RPG,26075,76
VoidRunner,Simulación,64831,77
CyberDefenders,Puzzle,33670,7
HeroEchoes,Puzzle,64920,4
VoidDefenders,Estrategia,10104,42
EternalRunner,Acción,16941,48
StarEmpire,Lucha,44870,47
StarLegacy,Carreras,22698,64
CyberChronicles,Acción,61294,1
TimeHeart,RPG,54611,63
LegendHorizon,Musical,22682,83
CrystalOdyssey,Puzzle,12127,4
EternalForge,Musical,45755,36
HeroBlade,Terror,65326,91
LegendSaga,Musical,57338,70
DragonEchoes,Simulación,35915,96
MysticSaga,Plataformas,30662,21
CyberEchoes,Lucha,67936,62
AncientEchoes,Carreras,30549,2
SolarReign,Acción,65281,73
DragonEchoes,Musical,53914,75
SolarForge,Simulación,12401,55
AncientProtocol,Carreras,68128,41
LegendBlade,Aventura,26906,94
WarPact,Plataformas,69043,98
ShadowQuest,Estrategia,23524,99
DragonStorm,RPG,3072,98
EternalBlade,Estrategia,2958,46
MysticEchoes,RPG,28504,60
TimeForge,Musical,59791,40
HeroRunner,Terror,68747,56
StarSaga,Musical,22662,93
CyberRunner,Acción,33620,31
HeroChronicles,Simulación,65726,100
IronOdyssey,Terror,13468,42
FrozenGuardians,Acción,4838,40
AncientHorizon,Deportes,30997,76
LostPact,Carreras,42308,66
VoidDefenders,RPG,58461,47
SolarProtocol,Carreras,45314,70
EternalEmpire,Plataformas,4315,27
WarGuardians,Puzzle,57633,80
IronPact,Aventura,13114,56
IronQuest,RPG,67130,81
VoidEchoes,Terror,59508,88
IronBlade,Deportes,57092,44
TimeReign,Puzzle,56076,39
EternalEmpire,Terror,32208,25
VoidBlade,Musical,35714,27
FrozenForge,Aventura,59714,35
TimeEmpire,Aventura,8104,87
TimeForge,Terror,57280,68
IronHeart,Carreras,27341,45
EternalHeart,Puzzle,11050,84
IronEchoes,Lucha,7014,58
IronHorizon,Deportes,60190,23
HeroProtocol,Lucha,7385,28
DragonProtocol,Acción,47451,29
ShadowStorm,Aventura,23109,42
ShadowReign,Lucha,18403,57
StarHeart,Aventura,28819,94
AncientDefenders,Lucha,68422,80
MysticRunner,Puzzle,58932,91
CrystalRunner,RPG,57731,67
IronBlade,Acción,67530,10
AncientFrontier,Plataformas,10194,72
StarQuest,Puzzle,66889,25
IronSaga,Musical,48807,10
EternalProtocol,Terror,23433,28
MysticBlade,Plataformas,69312,99
MysticHeart,Acción,58470,19
CrystalChronicles,Puzzle,32888,78
VoidStorm,Carreras,13229,88
CrystalHeart,Lucha,11048,57
CyberHeart,Puzzle,53756,96
ShadowOdyssey,Deportes,63360,35
ShadowHeart,Aventura,21572,25
FinalHeart,Aventura,59043,100
CrystalGuardians,Musical,61198,64
WarReign,Puzzle,65704,45
EternalFrontier,Aventura,4098,8
LostEchoes,Puzzle,27178,1
SolarGuardians,Simulación,59536,43
ShadowRiders,Deportes,55008,8
WarGuardians,Estrategia,47496,82
AncientBlade,Plataformas,49710,60
TimeDefenders,Simulación,58137,89
MysticForge,Carreras,47142,60
VoidReign,Lucha,23345,31
VoidQuest,Deportes,31577,79
FinalOdyssey,Carreras,9091,12
ShadowSaga,Aventura,15247,8
GalaxyHeart,Terror,40080,34
VoidProtocol,Acción,25511,12
GalaxyStorm,Estrategia,47228,7
MysticHorizon,Simulación,56919,50
TimeBlade,Lucha,11142,89
StarPact,Simulación,40713,24
CrystalForge,Carreras,45262,16
IronFrontier,Estrategia,19589,27
HeroQuest,Acción,28457,6
MysticGuardians,Musical,46510,80
TimeHeart,Aventura,54536,72
IronRiders,Puzzle,10110,65
CosmicQuest,Plataformas,10189,2
CrystalStorm,Puzzle,9150,76
LegendGuardians,Simulación,68976,20
WarGuardians,Estrategia,17531,28
GalaxyRunner,Musical,829,32
StarPact,Lucha,43353,26
CrystalEchoes,Plataformas,64691,44
SolarEmpire,Deportes,19174,5
